epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.162,1.56365,1.24094,1.03623,0.96982,0.94827,0.98664,0.68813,1.10844,0.61671,0.90387,0.000554837,0.000554837,0.000554837
2,289.7,1.05976,0.63839,0.88592,0.98418,0.97734,0.99179,0.75383,0.89126,0.5175,0.85153,0.00100056,0.00100056,0.00100056
3,390.982,0.92656,0.55682,0.85509,0.98419,0.98313,0.99337,0.78268,0.80203,0.47705,0.83245,0.00133627,0.00133627,0.00133627
4,489.096,0.82805,0.50191,0.83784,0.98892,0.99145,0.99368,0.81164,0.71347,0.43057,0.8155,0.0011719,0.0011719,0.0011719
5,593.943,0.76297,0.4662,0.82689,0.98728,0.99052,0.99395,0.82729,0.65669,0.40587,0.80765,0.00100687,0.00100687,0.00100687
6,697.982,0.69824,0.44395,0.8174,0.99079,0.99166,0.9941,0.84191,0.61771,0.38088,0.80213,0.000841835,0.000841835,0.000841835
7,778.032,0.65592,0.4191,0.81234,0.99293,0.9931,0.99405,0.85996,0.58301,0.36412,0.79763,0.000676802,0.000676802,0.000676802
8,824.765,0.61222,0.40026,0.80674,0.99015,0.99321,0.9942,0.87772,0.52511,0.3479,0.79135,0.000511769,0.000511769,0.000511769
9,871.498,0.58248,0.38445,0.80275,0.99081,0.9931,0.99426,0.88454,0.50908,0.33411,0.78964,0.000346736,0.000346736,0.000346736
10,918.092,0.54457,0.37028,0.7992,0.99342,0.99249,0.99441,0.89353,0.4846,0.32404,0.78669,0.000181703,0.000181703,0.000181703
